,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,성별,출생년도,혼인상테,종교,월급,직종,지역,나이,연령별,연령대
14313,14313,14313,14313,14313,여성,1945.0,2.0,2.0,,941.0,4.0,77.0,노년,70대
14314,14314,14314,14314,14314,여성,1942.0,2.0,1.0,,,4.0,80.0,노년,80대
14315,14315,14315,14315,14315,여성,1938.0,2.0,1.0,,,4.0,84.0,노년,80대
14316,14316,14316,14316,14316,남성,1942.0,3.0,2.0,,,4.0,80.0,노년,80대
14317,14317,14317,14317,14317,남성,1940.0,1.0,1.0,,,4.0,82.0,노년,80대
14318,14318,14318,14318,14318,여성,1945.0,1.0,1.0,,,4.0,77.0,노년,70대
14319,14319,14319,14319,14319,여성,1935.0,2.0,1.0,,,4.0,87.0,노년,80대
14320,14320,14320,14320,14320,남성,1933.0,1.0,1.0,,,4.0,89.0,노년,80대
14321,14321,14321,14321,14321,여성,1941.0,1.0,1.0,,,4.0,81.0,노년,80대
14322,14322,14322,14322,14322,남성,1960.0,1.0,1.0,272.0,753.0,4.0,62.0,노년,60대
14323,14323,14323,14323,14323,여성,1961.0,1.0,1.0,192.0,941.0,4.0,61.0,노년,60대
14324,14324,14324,14324,14324,여성,1990.0,5.0,1.0,327.0,312.0,4.0,32.0,중년,30대
14325,14325,14325,14325,14325,남성,1995.0,5.0,1.0,,442.0,4.0,27.0,청년,20대
14326,14326,14326,14326,14326,남성,1953.0,1.0,1.0,,,4.0,69.0,노년,60대
14327,14327,14327,14327,14327,여성,1955.0,1.0,1.0,,,4.0,67.0,노년,60대
14328,14328,14328,14328,14328,남성,1957.0,1.0,2.0,,841.0,4.0,65.0,노년,60대
14329,14329,14329,14329,14329,여성,1962.0,1.0,2.0,,,4.0,60.0,노년,60대
14330,14330,14330,14330,14330,남성,1970.0,1.0,1.0,515.0,761.0,4.0,52.0,중년,50대
14331,14331,14331,14331,14331,여성,1970.0,1.0,1.0,,,4.0,52.0,중년,50대
14332,14332,14332,14332,14332,남성,1996.0,5.0,1.0,,,4.0,26.0,청년,20대
14333,14333,14333,14333,14333,남성,2000.0,5.0,1.0,,,4.0,22.0,청년,20대
14334,14334,14334,14334,14334,여성,1950.0,2.0,1.0,,,4.0,72.0,노년,70대
14335,14335,14335,14335,14335,여성,1925.0,2.0,1.0,,,4.0,97.0,노년,NaN
14336,14336,14336,14336,14336,남성,1958.0,5.0,2.0,,,4.0,64.0,노년,60대
14337,14337,14337,14337,14337,여성,1965.0,3.0,1.0,,274.0,4.0,57.0,중년,50대
14338,14338,14338,14338,14338,남성,2001.0,5.0,2.0,,,4.0,21.0,청년,20대
14339,14339,14339,14339,14339,남성,1948.0,2.0,1.0,,,4.0,74.0,노년,70대
14340,14340,14340,14340,14340,여성,1940.0,2.0,1.0,,,4.0,82.0,노년,80대
14341,14341,14341,14341,14341,여성,1941.0,2.0,1.0,,,4.0,81.0,노년,80대
14342,14342,14342,14342,14342,여성,1938.0,2.0,2.0,27.0,941.0,4.0,84.0,노년,80대
14343,14343,14343,14343,14343,남성,1953.0,1.0,1.0,93.0,421.0,4.0,69.0,노년,60대
14344,14344,14344,14344,14344,여성,1955.0,1.0,1.0,,,4.0,67.0,노년,60대
14345,14345,14345,14345,14345,남성,1964.0,1.0,1.0,,611.0,4.0,58.0,중년,50대
14346,14346,14346,14346,14346,여성,1962.0,1.0,1.0,,,4.0,60.0,노년,60대
14347,14347,14347,14347,14347,남성,1984.0,1.0,2.0,,245.0,4.0,38.0,중년,30대
14348,14348,14348,14348,14348,여성,1984.0,1.0,2.0,,,4.0,38.0,중년,30대
14349,14349,14349,14349,14349,남성,2019.0,0.0,2.0,,,4.0,3.0,청년,NaN
14350,14350,14350,14350,14350,여성,2021.0,0.0,2.0,,,4.0,1.0,청년,NaN
14351,14351,14351,14351,14351,남성,1937.0,1.0,1.0,,,4.0,85.0,노년,80대
14352,14352,14352,14352,14352,여성,1941.0,1.0,1.0,,,4.0,81.0,노년,80대
14353,14353,14353,14353,14353,남성,1965.0,1.0,2.0,514.0,782.0,4.0,57.0,중년,50대
14354,14354,14354,14354,14354,여성,1969.0,1.0,2.0,673.0,312.0,4.0,53.0,중년,50대
14355,14355,14355,14355,14355,여성,2000.0,5.0,2.0,,,4.0,22.0,청년,20대
14356,14356,14356,14356,14356,남성,2003.0,5.0,2.0,,,4.0,19.0,청년,NaN
14357,14357,14357,14357,14357,남성,1941.0,1.0,1.0,,,4.0,81.0,노년,80대
14358,14358,14358,14358,14358,여성,1941.0,1.0,1.0,,,4.0,81.0,노년,80대
14359,14359,14359,14359,14359,남성,1955.0,1.0,1.0,,910.0,4.0,67.0,노년,60대
14360,14360,14360,14360,14360,여성,1957.0,1.0,1.0,,,4.0,65.0,노년,60대
14361,14361,14361,14361,14361,여성,1944.0,2.0,1.0,27.0,941.0,4.0,78.0,노년,70대
14362,14362,14362,14362,14362,남성,1963.0,1.0,1.0,458.0,247.0,4.0,59.0,중년,50대
14363,14363,14363,14363,14363,여성,1963.0,1.0,1.0,,,4.0,59.0,중년,50대
14364,14364,14364,14364,14364,여성,1998.0,5.0,1.0,,,4.0,24.0,청년,20대
14365,14365,14365,14365,14365,남성,1955.0,3.0,2.0,,941.0,4.0,67.0,노년,60대
14366,14366,14366,14366,14366,남성,1985.0,1.0,2.0,243.0,743.0,4.0,37.0,중년,30대
14367,14367,14367,14367,14367,여성,1983.0,1.0,2.0,0.0,311.0,4.0,39.0,중년,30대
14368,14368,14368,14368,14368,여성,2020.0,0.0,2.0,,,4.0,2.0,청년,NaN
14369,14369,14369,14369,14369,여성,1944.0,2.0,1.0,27.0,952.0,4.0,78.0,노년,70대
14370,14370,14370,14370,14370,여성,1951.0,3.0,1.0,,,4.0,71.0,노년,70대
14371,14371,14371,14371,14371,남성,1945.0,1.0,2.0,,,4.0,77.0,노년,70대
14372,14372,14372,14372,14372,여성,1949.0,1.0,2.0,,,4.0,73.0,노년,70대
14373,14373,14373,14373,14373,여성,1948.0,2.0,1.0,,,4.0,74.0,노년,70대
